"opportunity_id","sales_agent","product","account","deal_stage","engage_date","close_date","close_value","sale_cycle_duration","manager","regional_office","team_id","series","sales_price","quarter","sales_variance","sales_variance_status"
"1C1I7A6R","Moses Frase","GTX Plus Basic","Cancity","Won","2016-10-20","2017-03-01",1054.0,132,"Dustin Brinkmann","Central",3,"GTX",1096,1,-42,"Negative Variance"
"Z063OYW0","Darcel Schlecht","GTX Pro","Isdom","Won","2016-10-25","2017-03-11",4514.0,137,"Melvin Marxen","Central",4,"GTX",4821,1,-307,"Negative Variance"
"EC4QE1BX","Darcel Schlecht","MG Special","Cancity","Won","2016-10-25","2017-03-07",50.0,133,"Melvin Marxen","Central",4,"MG",55,1,-5,"Negative Variance"
"MV1LWRNH","Moses Frase","GTX Basic","Codehow","Won","2016-10-25","2017-03-09",588.0,135,"Dustin Brinkmann","Central",3,"GTX",550,1,38,"Positive Variance"
"PE84CX4O","Zane Levy","GTX Basic","Hatfan","Won","2016-10-25","2017-03-02",517.0,128,"Summer Sewald","West",6,"GTX",550,1,-33,"Negative Variance"
"ZNBS69V1","Anna Snelling","MG Special","Ron-tech","Won","2016-10-29","2017-03-01",49.0,123,"Dustin Brinkmann","Central",3,"MG",55,1,-6,"Negative Variance"
"9ME3374G","Vicki Laflamme","MG Special","J-Texon","Won","2016-10-30","2017-03-02",57.0,123,"Celia Rouche","West",2,"MG",55,1,2,"Positive Variance"
"7GN8Q4LL","Markita Hansen","GTX Basic","Cheers","Won","2016-11-01","2017-03-07",601.0,126,"Celia Rouche","West",2,"GTX",550,1,51,"Positive Variance"
"OLK9LKZB","Niesha Huffines","GTX Plus Basic","Zumgoity","Won","2016-11-01","2017-03-03",1026.0,122,"Melvin Marxen","Central",4,"GTX",1096,1,-70,"Negative Variance"
"NL3JZH1Z","Anna Snelling","MG Special","Bioholding","Won","2016-11-04","2017-03-10",53.0,126,"Dustin Brinkmann","Central",3,"MG",55,1,-2,"Negative Variance"
"KWVA7VR1","Gladys Colclough","GTX Pro","Genco Pura Olive Oil Company","Lost","2016-11-04","2017-03-18",0.0,134,"Melvin Marxen","Central",4,"GTX",4821,1,-4821,"Negative Variance"
"S8DX3XOU","James Ascencio","GTX Plus Pro","Sunnamplex","Won","2016-11-04","2017-03-10",5169.0,126,"Summer Sewald","West",6,"GTX",5482,1,-313,"Negative Variance"
"ENB2XD8G","Maureen Marcano","GTX Plus Pro","Sonron","Won","2016-11-04","2017-03-06",4631.0,122,"Summer Sewald","West",6,"GTX",5482,1,-851,"Negative Variance"
"09YE9QOV","Hayden Neloms","MG Advanced","Finjob","Won","2016-11-05","2017-03-11",3393.0,126,"Celia Rouche","West",2,"MG",3393,1,0,"Positive Variance"
"3F5MZNEH","Rosalina Dieter","MG Special","Sonron","Lost","2016-11-05","2017-03-03",0.0,118,"Celia Rouche","West",2,"MG",55,1,-55,"Negative Variance"
"M6WEJXC0","Rosalina Dieter","MG Advanced","Scotfind","Won","2016-11-05","2017-03-06",3284.0,121,"Celia Rouche","West",2,"MG",3393,1,-109,"Negative Variance"
"6PTR7VBR","Versie Hillebrand","MG Special","Treequote","Won","2016-11-06","2017-03-05",61.0,119,"Dustin Brinkmann","Central",3,"MG",55,1,6,"Positive Variance"
"902REDPA","Daniell Hammack","GTX Pro","Xx-zobam","Lost","2016-11-07","2017-03-09",0.0,122,"Rocco Neubert","East",5,"GTX",4821,1,-4821,"Negative Variance"
"5J9CMGDV","Elease Gluck","MG Special","Rantouch","Won","2016-11-07","2017-03-08",46.0,121,"Celia Rouche","West",2,"MG",55,1,-9,"Negative Variance"
"JJXRR8R6","James Ascencio","GTX Plus Pro","Fasehatice","Lost","2016-11-07","2017-03-17",0.0,130,"Summer Sewald","West",6,"GTX",5482,1,-5482,"Negative Variance"
"WF4HA5NW","Moses Frase","MG Special","Ron-tech","Won","2016-11-07","2017-03-18",50.0,131,"Dustin Brinkmann","Central",3,"MG",55,1,-5,"Negative Variance"
"C5K2JP1H","Violet Mclelland","GTX Plus Basic","Vehement Capital Partners","Won","2016-11-07","2017-03-11",1014.0,124,"Cara Losch","East",1,"GTX",1096,1,-82,"Negative Variance"
"ADRB8OMB","Darcel Schlecht","GTX Basic","Warephase","Won","2016-11-08","2017-03-26",561.0,138,"Melvin Marxen","Central",4,"GTX",550,1,11,"Positive Variance"
"SBCR987L","Kami Bicknell","GTX Basic","Zoomit","Won","2016-11-10","2017-03-23",590.0,133,"Summer Sewald","West",6,"GTX",550,1,40,"Positive Variance"
"JSD4APT2","Versie Hillebrand","MG Special","Bioholding","Won","2016-11-10","2017-03-12",61.0,122,"Dustin Brinkmann","Central",3,"MG",55,1,6,"Positive Variance"
"AO9Z2D17","Violet Mclelland","GTX Plus Pro","Xx-zobam","Lost","2016-11-10","2017-03-11",0.0,121,"Cara Losch","East",1,"GTX",5482,1,-5482,"Negative Variance"
"5M58DTJK","Elease Gluck","MG Special","Cheers","Won","2016-11-11","2017-03-05",58.0,114,"Celia Rouche","West",2,"MG",55,1,3,"Positive Variance"
